"Id","SalePrice"
1461,123311.152436079
1462,168206.832996506
1463,177466.354446642
1464,191984.310571184
1465,213048.075305195
1466,163720.520847557
1467,172457.439972265
1468,161984.411364882
1469,199412.180967319
1470,114421.528559102
1471,170288.239791791
1472,94041.2631072732
1473,93139.1176421875
1474,144800.990123925
1475,120953.999490052
1476,404593.908063514
1477,255273.073426433
1478,333976.370776249
1479,320479.598018353
1480,460701.008794715
1481,351663.040179037
1482,225618.397887238
1483,198940.039798827
1484,168009.907901718
1485,194527.781651342
1486,192442.178997903
1487,391497.737363041
1488,206920.062752549
1489,208726.208595128
1490,251058.888205259
1491,199660.86936468
1492,102633.837113447
1493,188975.218735964
1494,298466.762059417
1495,292789.3259199
1496,234130.101692939
1497,189331.055425802
1498,164640.277952282
1499,155357.239385988
1500,150050.298935899
1501,169968.913310228
1502,142020.818019684
1503,265835.973371851
1504,234266.175247203
1505,218817.863709196
1506,178115.40641796
1507,215461.946711029
1508,202867.584984938
1509,161053.686197389
1510,136253.560568869
1511,140566.171256562
1512,168916.539672738
1513,168055.691535926
1514,158957.03215822
1515,217194.646241385
1516,158129.075511953
1517,186541.072423852
1518,141680.944729715
1519,197968.238402244
1520,125859.11621114
1521,134291.820625828
1522,164071.075647224
1523,121693.482602977
1524,132565.2922249
1525,125492.291832604
1526,124327.96972843
1527,105844.796171798
1528,138704.841243955
1529,131415.907878355
1530,191909.892205586
1531,112127.13008565
1532,82793.5891178251
1533,156117.175852214
1534,132419.609701112
1535,150163.829112891
1536,115865.144523461
1537,63785.7658616396
1538,174836.750795579
1539,184669.484629992
1540,108469.90401485
1541,137584.367501629
1542,141673.573490284
1543,186642.933305699
1544,86727.2005476545
1545,119788.920372013
1546,131381.182974029
1547,143437.457147045
1548,138890.927604116
1549,107225.803248879
1550,121189.096312985
1551,96133.1752536318
1552,109431.821952499
1553,140125.341302972
1554,111356.902048952
1555,168518.465372509
1556,NA
1557,126219.745846639
1558,111461.133594609
1559,56857.2886884998
1560,125692.174972217
1561,108836.99053677
1562,132557.56700953
1563,113101.942745886
1564,153811.47946417
1565,137372.667133396
1566,251839.799668519
1567,80311.791294726
1568,224338.457668311
1569,130471.988044448
1570,140457.293192499
1571,110481.856521071
1572,136175.392422785
1573,234670.870379632
1574,124921.293153795
1575,244144.525844214
1576,221437.134724803
1577,184645.130138485
1578,139198.498618708
1579,159087.189167304
1580,186219.380918403
1581,162887.944984284
1582,124596.909079596
1583,255581.957652415
1584,211720.959260359
1585,134146.013013968
1586,71112.236789407
1587,116010.335898635
1588,155963.591417532
1589,118517.357226565
1590,134887.482144045
1591,91613.4547541339
1592,111773.671577969
1593,124078.032291172
1594,103264.832326129
1595,101736.526025065
1596,217415.670286496
1597,197411.158518193
1598,247565.290442087
1599,207038.861955884
1600,192023.591581818
1601,68170.5324281811
1602,120714.894713844
1603,63535.7077974411
1604,261101.87831187
1605,215178.868720215
1606,165107.649147705
1607,182962.460721606
1608,206035.380262084
1609,188355.620843596
1610,158182.522844557
1611,137869.773518997
1612,181451.517641228
1613,155827.190401772
1614,125085.861221845
1615,83706.5381031092
1616,73865.6121292971
